"X..language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
1,10.2247,-5.84695,1.57933,11.0732,-6.74006,13.6003,-8.34855,4.25603,-1.07625,-7.46205,4.02494,-0.636634
0,4.89987,-4.39598,0.450237,6.70707,-6.72603,10.3793,-9.64491,4.25752,-0.784425,-5.47746,2.21494,-7.41224
0,2.91494,-4.19126,3.49783,10.3748,-6.31339,10.0329,-10.6186,4.82322,1.17493,-3.97906,1.87674,-4.46667
0,4.88026,-6.57269,2.14722,9.64465,-6.49599,10.6034,-9.64661,1.90916,-0.186767,-4.03675,3.21464,-5.44538
1,7.07797,-7.26548,9.47414,9.0684,-8.41768,12.1046,-13.2729,3.46233,-1.22525,-5.04044,2.29165,-5.84724
1,13.7446,-9.93853,3.06895,13.795,-6.00746,14.3174,-9.65824,0.302305,1.69965,-10.9903,5.38106,0.124498
1,9.80358,-4.48561,9.09275,12.2369,-9.27652,9.9723,-14.0033,6.09933,-0.420892,-9.93511,2.55685,-5.8872
0,1.94543,-3.54071,2.53982,6.41817,-5.04379,11.4687,-9.30662,6.0107,0.510749,-1.17318,4.0202,-5.79028
1,9.60712,-5.85641,6.80458,13.3181,-8.35642,9.99929,-13.6496,3.19067,1.09363,-8.62871,0.90391,-3.57247
0,3.59321,-4.87197,4.85976,11.3893,-7.55295,9.31388,-9.76237,3.32298,-0.651156,-6.12486,-0.40634,-7.06708
1,8.78729,-5.52467,8.75222,10.0013,-8.81065,11.8916,-13.2655,6.96858,0.903085,-5.96951,1.76051,-6.10171
1,6.74562,-7.22586,6.20444,9.43396,-7.91008,10.2043,-8.56682,8.7097,-2.46378,-8.77012,5.4284,-1.64735
1,10.1488,-3.63341,5.4704,11.2641,-6.62455,12.2518,-12.3466,6.73482,1.26449,-6.93024,2.98264,-5.51245
0,4.87943,-2.78406,2.08743,9.66752,-7.81801,10.9043,-9.69547,3.60183,0.851031,-4.24803,1.30777,-6.08056
0,2.45278,-4.40598,0.492646,9.09234,-5.57127,11.483,-9.81841,3.97705,0.399216,-5.28837,1.97662,-3.87347
0,7.59761,-6.09054,1.13939,4.06678,-10.1194,10.7371,-10.2894,2.70453,-1.93497,-6.05662,2.09857,-5.41513
0,6.25467,-1.35354,-0.53674,9.0018,-7.61691,12.5335,-8.14234,3.41423,0.16646,-4.86785,2.83296,-5.00007
0,4.91552,-1.23562,0.599622,7.39218,-6.9408,12.2071,-9.47231,4.59188,1.36966,-4.56381,2.40254,-4.85742
0,2.43805,-6.93772,0.68419,8.32818,-5.87012,9.33187,-9.38017,3.40821,0.78579,-2.3807,2.32984,-5.33467
0,0.900426,0.783411,0.399178,9.4774,-5.83889,10.9431,-10.5549,1.86314,0.902075,-2.23801,1.08377,-4.95572
0,3.70943,-4.146,1.03172,8.22012,-6.97088,9.19838,-9.0522,3.38306,-1.01805,-5.25707,0.764786,-7.74992
0,3.97695,-3.00041,0.0320005,9.45266,-8.13236,10.1512,-9.98673,1.35563,-0.37363,-3.75277,1.37613,-4.72871
1,11.2635,-6.01798,-0.726262,11.9598,-5.66723,12.3185,-7.89212,4.13117,-0.672802,-9.21565,4.77087,-0.82253
1,12.4403,-4.70541,3.62772,11.8777,-9.4098,10.441,-8.15037,9.49296,-0.0812459,-9.7365,3.25267,-5.96658
1,10.4214,-4.26105,7.47247,9.17296,-7.41908,11.3888,-14.509,6.55709,0.0141103,-8.55991,2.59641,-4.76351
0,1.54015,-7.16001,3.77877,6.71881,-9.34732,8.09056,-11.7755,3.11817,-0.35733,-4.25142,-0.93737,-5.71235
1,10.983,-5.15745,3.95206,11.5294,-7.63805,12.1361,-12.0362,3.49194,0.595441,-4.50881,2.33215,-6.22186
1,5.83684,-5.32656,7.47226,8.84744,-6.77324,12.6772,-12.3151,4.41634,0.1935,-3.64481,2.15124,-6.81631
0,3.81095,-8.97928,5.73831,5.51757,-6.82563,11.0635,-10.0266,5.14497,-2.09835,-2.0654,3.70908,-8.23572
1,7.82711,-5.47747,7.81626,9.18759,-7.17251,11.7153,-13.8472,4.57407,-1.68756,-7.20404,-0.0118469,-6.46314
1,6.75467,-4.62157,10.1726,14.3119,-7.48551,10.1261,-12.3354,5.02238,-0.454547,-9.48713,1.3132,-3.97176
0,3.96475,-2.13091,1.65968,8.81415,-5.25541,11.7844,-9.49676,4.80972,-1.10069,-3.87815,2.41018,-6.56862
1,7.07148,-6.5129,7.6508,11.1508,-7.65731,12.484,-11.7098,3.4266,1.46272,-2.81275,0.866538,-5.24427
0,-0.415037,-6.03241,3.0891,3.65878,-6.60559,11.2866,-12.2746,4.60988,-1.25786,-3.03624,1.27044,-4.88442
0,4.29657,-0.458798,-0.0488488,6.01817,-8.96438,11.6969,-7.79367,4.37499,-1.39076,-4.35025,2.27486,-4.05955
1,7.88681,-2.593,0.261655,12.9321,-4.10891,11.8141,-8.90404,6.17652,1.55973,-7.81231,4.31789,-1.10853
1,6.74408,-5.68892,6.54679,9.00018,-6.92496,11.7108,-12.3744,6.16988,-0.544747,-6.01924,1.35856,-6.35644
0,6.36055,-0.0775132,0.72697,8.23399,-9.05097,11.7004,-7.76718,4.39971,-0.0131503,-5.08352,2.55593,-6.79622
1,6.26709,-4.22774,7.22774,10.0694,-6.95387,9.38477,-15.3415,6.71853,-0.450952,-7.17759,2.53871,-3.55054
1,7.59876,-9.12325,8.85736,10.4406,-8.51308,12.1402,-14.7395,4.68215,1.21376,-5.51845,2.27633,-4.33102
